Seed,Case number,Case start state,Solution found,Number of moves,Number of nodes opened,Computing time
574,1,"[1, 0, [[8, 2, 3], [0, 5, 1], [6, 7, 4]]]",1,15,299,0.01237630844116211
574,2,"[1, 1, [[2, 3, 7], [1, 0, 4], [6, 5, 8]]]",1,18,395,0.011422872543334961
574,3,"[0, 1, [[5, 0, 3], [7, 8, 6], [1, 2, 4]]]",1,21,1234,0.036261796951293945
574,4,"[2, 1, [[7, 4, 5], [6, 2, 3], [1, 0, 8]]]",1,21,1125,0.043390750885009766
574,5,"[1, 2, [[7, 1, 5], [8, 3, 0], [4, 2, 6]]]",1,23,7016,0.25040411949157715
574,6,"[1, 0, [[1, 7, 6], [0, 5, 3], [8, 2, 4]]]",1,19,424,0.013737678527832031
574,7,"[1, 2, [[1, 6, 4], [8, 2, 0], [3, 5, 7]]]",0,0,275623,5.1623146533966064
574,8,"[2, 0, [[8, 2, 7], [3, 5, 6], [0, 4, 1]]]",1,26,5652,0.09594178199768066
574,9,"[0, 2, [[2, 5, 0], [8, 3, 4], [7, 1, 6]]]",1,16,513,0.009432315826416016
574,10,"[0, 2, [[2, 7, 0], [8, 1, 3], [4, 6, 5]]]",0,0,489703,8.202016592025757
